date,fear_greed_index,z_score_grade,category
2008-09-14,-30.0,4.75,공포
2008-09-15,-93.75,0.390625,극도의 공포
2008-09-16,-83.56164383561644,1.0273972602739727,극도의 공포
2008-09-17,-80.3921568627451,1.2254901960784315,극도의 공포
2008-09-18,-87.2340425531915,0.7978723404255312,극도의 공포
2008-09-19,-61.29032258064516,2.4193548387096775,극도의 공포
2008-09-20,-88.88888888888889,0.6944444444444446,극도의 공포
2008-09-21,-53.84615384615385,2.9615384615384617,공포
2008-09-22,-25.71428571428571,5.071428571428571,공포
2008-09-23,-62.96296296296296,2.314814814814815,극도의 공포
2008-09-24,-28.57142857142857,4.857142857142858,공포
2008-09-25,-62.5,2.34375,극도의 공포
2008-09-26,-56.25,2.78125,공포
2008-09-27,-78.57142857142857,1.3392857142857144,극도의 공포
